"field","date","production"
"ELDFISK",2023-08-01,1225.25785377589
"ELDFISK",2023-09-01,1217.85982740703
"ELDFISK",2023-10-01,1229.50169072728
"ELDFISK",2023-11-01,1121.08046020869
"ELDFISK",2023-12-01,1138.42029967447
"EKOFISK",2023-08-01,2045.1408551608
"EKOFISK",2023-09-01,1881.40869659583
"EKOFISK",2023-10-01,1975.10301535771
"EKOFISK",2023-11-01,1892.38547255078
"EKOFISK",2023-12-01,2031.85020014193
"EMBLA",2023-08-01,72.0710578584364
"EMBLA",2023-09-01,67.6024015000181
"EMBLA",2023-10-01,64.1570888077417
"EMBLA",2023-11-01,61.3733598171718
"EMBLA",2023-12-01,61.6825237861738
"Greater Ekofisk Area",2023-08-01,3370.89476136512
"Greater Ekofisk Area",2023-09-01,3197.42618017381
"Greater Ekofisk Area",2023-10-01,3299.07412452581
"Greater Ekofisk Area",2023-11-01,3118.53593898535
"Greater Ekofisk Area",2023-12-01,3272.06471203516
