Field (Discovery),Date,Net - oil [kbbl/day]
EKOFISK,2013-01-01,3762.3635
EKOFISK,2013-02-01,3268.4727000000003
EKOFISK,2013-03-01,3586.3064
EKOFISK,2013-04-01,3408.7397
EKOFISK,2013-05-01,3583.5388
EKOFISK,2013-06-01,606.1044
EKOFISK,2013-07-01,4028.745
EKOFISK,2013-08-01,3939.6157000000003
EKOFISK,2013-09-01,3087.6981
EKOFISK,2013-10-01,3764.3763
EKOFISK,2013-11-01,3552.8436
EKOFISK,2013-12-01,3619.3918
EKOFISK,2014-01-01,3608.0069
EKOFISK,2014-02-01,3470.5704
EKOFISK,2014-03-01,3732.3602
EKOFISK,2014-04-01,3677.763
EKOFISK,2014-05-01,3710.5339
EKOFISK,2014-06-01,3590.2691
EKOFISK,2014-07-01,3604.7361
EKOFISK,2014-08-01,3512.6505
EKOFISK,2014-09-01,3203.3711999999996
EKOFISK,2014-10-01,3550.3276
EKOFISK,2014-11-01,3430.9434
EKOFISK,2014-12-01,3593.7915
EKOFISK,2015-01-01,3469.6897999999997
EKOFISK,2015-02-01,3097.196
EKOFISK,2015-03-01,3523.9725
EKOFISK,2015-04-01,3427.9871000000003
EKOFISK,2015-05-01,3637.3183
EKOFISK,2015-06-01,3189.9106000000006
EKOFISK,2015-07-01,3521.3307
EKOFISK,2015-08-01,3400.2482
EKOFISK,2015-09-01,3165.9457
EKOFISK,2015-10-01,3394.4613999999997
EKOFISK,2015-11-01,3410.6896
EKOFISK,2015-12-01,3517.2422
EKOFISK,2016-01-01,3461.4499
EKOFISK,2016-02-01,3098.3911000000003
EKOFISK,2016-03-01,3480.1312000000003
EKOFISK,2016-04-01,3283.6945
EKOFISK,2016-05-01,3278.4108999999994
EKOFISK,2016-06-01,534.3984
EKOFISK,2016-07-01,3739.4679
EKOFISK,2016-08-01,3809.224
EKOFISK,2016-09-01,3508.6877999999997
EKOFISK,2016-10-01,3517.8712
EKOFISK,2016-11-01,3389.1778
EKOFISK,2016-12-01,3427.6097
EKOFISK,2017-01-01,3488.5598
EKOFISK,2017-02-01,3187.8978
EKOFISK,2017-03-01,3596.6848999999997
EKOFISK,2017-04-01,3372.1319
EKOFISK,2017-05-01,3393.1405
EKOFISK,2017-06-01,3294.4503999999997
EKOFISK,2017-07-01,3381.0008
EKOFISK,2017-08-01,3385.4667000000004
EKOFISK,2017-09-01,3125.3752000000004
EKOFISK,2017-10-01,3270.171
EKOFISK,2017-11-01,3057.6319
EKOFISK,2017-12-01,3058.8899
EKOFISK,2018-01-01,3158.7751000000003
EKOFISK,2018-02-01,2761.8761
EKOFISK,2018-03-01,3204.1889000000006
EKOFISK,2018-04-01,3094.68
EKOFISK,2018-05-01,3124.3687999999997
EKOFISK,2018-06-01,2913.6537999999996
EKOFISK,2018-07-01,3149.1513999999997
EKOFISK,2018-08-01,3130.533
EKOFISK,2018-09-01,3092.2898
EKOFISK,2018-10-01,3086.6917000000003
EKOFISK,2018-11-01,2690.1072000000004
EKOFISK,2018-12-01,3198.7794999999996
EKOFISK,2019-01-01,3207.5855
EKOFISK,2019-02-01,2851.9489
EKOFISK,2019-03-01,3154.1204999999995
EKOFISK,2019-04-01,3260.3586
EKOFISK,2019-05-01,3297.5953999999992
EKOFISK,2019-06-01,305.3166
EKOFISK,2019-07-01,3614.1711
EKOFISK,2019-08-01,3517.4309
EKOFISK,2019-09-01,3168.4617000000003
EKOFISK,2019-10-01,3255.5153
EKOFISK,2019-11-01,2992.2787999999996
EKOFISK,2019-12-01,2587.077
EKOFISK,2020-01-01,3079.2695
EKOFISK,2020-02-01,2781.8783
EKOFISK,2020-03-01,2884.7827
EKOFISK,2020-04-01,2617.5206000000003
EKOFISK,2020-05-01,2697.5294
EKOFISK,2020-06-01,2377.3055
EKOFISK,2020-07-01,2734.7662
EKOFISK,2020-08-01,2591.7316
EKOFISK,2020-09-01,2489.582
EKOFISK,2020-10-01,2519.774
EKOFISK,2020-11-01,2492.098
EKOFISK,2020-12-01,2679.2255
EKOFISK,2021-01-01,2587.8947000000003
EKOFISK,2021-02-01,2328.1177000000002
EKOFISK,2021-03-01,2592.9896
EKOFISK,2021-04-01,2374.7895
EKOFISK,2021-05-01,2436.4315
EKOFISK,2021-06-01,2508.8923
EKOFISK,2021-07-01,2510.9051
EKOFISK,2021-08-01,2448.697
EKOFISK,2021-09-01,2465.1767999999997
