Date;Turnover. Unadjusted figures (NOK million);Turnover. Unadjusted figures (2005=100);Turnover. Seasonally adjusted figures (2005=100);Three-month moving average, seasonally adjusted (2005=100);Turnover. Calendar adjusted figures (2005=100);Turnover. Smoothed seasonally adjusted figures (2005=100)
2013M01;63733;153,9;154,3;153,9;151,0;152,6
2013M02;58391;141,0;150,1;152,1;141,8;153,6
2013M03;65430;158,0;156,5;153,6;165,4;155,5
2013M04;66895;161,5;160,4;155,7;154,5;158,0
2013M05;66642;160,9;160,8;159,2;155,7;161,0
2013M06;67998;164,2;165,6;162,3;165,9;163,5
2013M07;60419;145,9;168,0;164,8;143,9;165,0
2013M08;65967;159,3;164,1;165,9;158,7;165,4
2013M09;71826;173,4;168,5;166,9;174,3;165,0
2013M10;74190;179,1;166,4;166,3;176,6;164,3
2013M11;69953;168,9;159,7;164,9;168,9;163,7
2013M12;73398;177,2;166,1;164,1;182,8;163,6
2014M01;63920;154,3;156,5;160,8;150,7;163,5
2014M02;64503;155,7;165,5;162,7;156,6;163,7
2014M03;72510;175,1;165,5;162,5;174,5;163,7
2014M04;66374;160,2;167,4;166,1;160,9;163,6
2014M05;65472;158,1;160,8;164,6;157,4;163,2
2014M06;67174;162,2;161,7;163,3;162,9;162,8
2014M07;59886;144,6;166,4;163,0;142,8;162,5
2014M08;67709;163,5;169,4;165,8;165,3;162,1
2014M09;70779;170,9;163,7;166,5;169,3;161,7
2014M10;70793;170,9;159,9;164,3;168,7;161,3
2014M11;70717;170,7;164,8;162,8;173,3;160,7
2014M12;72810;175,8;161,7;162,1;182,0;160,1
2015M01;59190;142,9;146,9;157,8;140,5;160,1
2015M02;63849;154,2;164,3;157,6;154,9;160,0
2015M03;71422;172,4;161,4;157,5;170,3;159,6
2015M04;62847;151,7;158,2;161,3;152,4;158,5
2015M05;65161;157,3;161,8;160,5;158,8;156,7
2015M06;66297;160,1;155,4;158,5;157,9;154,5
2015M07;52735;127,3;146,6;154,6;125,7;152,2
2015M08;61947;149,6;153,2;151,7;151,2;150,2
2015M09;66277;160,0;152,6;150,8;158,4;148,5
2015M10;65946;159,2;151,0;152,3;158,6;147,1
2015M11;63419;153,1;146,0;149,9;154,0;145,8
2015M12;63793;154,0;142,4;146,5;157,2;144,4
2016M01;56932;137,5;144,1;144,2;137,5;143,0
2016M02;56627;136,7;139,8;142,1;132,9;142,1
2016M03;59676;144,1;141,1;141,7;148,9;141,6
2016M04;59303;143,2;142,3;141,1;136,6;141,8
2016M05;60528;146,1;148,8;144,1;145,5;142,5
2016M06;61622;148,8;146,2;145,8;146,5;143,4
2016M07;49702;120,0;144,3;146,4;121,4;144,1
2016M08;59310;143,2;144,2;144,9;141,3;144,3
2016M09;62476;150,8;142,9;143,8;149,3;144,2
2016M10;60841;146,9;142,7;143,3;148,7;143,8
2016M11;65081;157,1;146,7;144,1;155,5;143,3
2016M12;64397;155,5;141,5;143,6;160,5;142,8
2017M01;56862;137,3;143,6;143,9;137,8;142,3
2017M02;57240;138,2;144,8;143,3;138,7;141,7
2017M03;63530;153,4;141,3;143,2;149,0;141,4
2017M04;54728;132,1;142,2;142,8;136,2;141,3
2017M05;58385;141,0;140,5;141,3;137,1;141,1
2017M06;59038;142,5;141,0;141,2;141,1;140,8
2017M07;48819;117,9;143,3;141,6;119,3;140,4
2017M08;59297;143,2;144,6;143,0;141,2;140,2
2017M09;59254;143,1;137,2;141,7;143,1;140,1
2017M10;60662;146,5;139,7;140,5;146,8;140,6
2017M11;63345;152,9;142,1;139,7;151,3;141,8
2017M12;64408;155,5;150,5;144,1;170,8;143,8
2018M01;58551;141,4;141,5;144,7;136,8;146,6
2018M02;59390;143,4;149,5;147,2;143,9;149,6
2018M03;66635;160,9;155,2;148,7;163,5;152,3
2018M04;62728;151,4;156,5;153,7;149,3;154,7
2018M05;64540;155,8;155,9;155,9;152,2;156,9
2018M06;66360;160,2;159,2;157,2;159,2;159,1
2018M07;55179;133,2;161,0;158,7;133,6;161,0
2018M08;65269;157,6;161,1;160,4;155,4;162,6
2018M09;70250;169,6;169,3;163,8;172,3;163,8
2018M10;73316;177,0;167,2;165,9;174,5;164,8
2018M11;74410;179,6;166,5;167,7;177,8;165,5
2018M12;72448;174,9;162,3;165,3;187,8;165,7
